Time (s),Timestamp,ECG (uV),Packet Counter(DIGITAL),TRIGGER(DIGITAL)
3416.732,2025-12-16 10:33:04.523,-11225.700546,124,57344
3416.734,2025-12-16 10:33:04.525,-14095.878811,125,57344
3416.736,2025-12-16 10:33:04.527,-15065.193401,126,57344
3416.738,2025-12-16 10:33:04.529,-13962.745875,127,57344
3416.74,2025-12-16 10:33:04.531,-10129.1658,0,57344
3416.742,2025-12-16 10:33:04.533,-12042.045773,1,57344
3416.744,2025-12-16 10:33:04.535,-14010.048121,2,57344
3416.746,2025-12-16 10:33:04.537,-12980.079844,3,57344
3416.748,2025-12-16 10:33:04.539,-9374.61867,4,57344
3416.75,2025-12-16 10:33:04.541,-12832.069588,5,57344
3416.752,2025-12-16 10:33:04.543,-14789.200049,6,57344
3416.754,2025-12-16 10:33:04.545,-14146.995755,7,57344
3416.756,2025-12-16 10:33:04.547,-11744.690116,8,57344
3416.758,2025-12-16 10:33:04.549,-13990.593165,9,57344
3416.76,2025-12-16 10:33:04.551,-14717.674475,10,57344
3416.762,2025-12-16 10:33:04.553,-13304.519852,11,57344
3416.764,2025-12-16 10:33:04.555,-8728.027474,12,57344
3416.766,2025-12-16 10:33:04.557,-11429.405383,13,57344
3416.768,2025-12-16 10:33:04.559,-14058.113308,14,57344
3416.77,2025-12-16 10:33:04.561,-13598.44228,15,57344
3416.772,2025-12-16 10:33:04.563,-11278.534104,16,57344
3416.774,2025-12-16 10:33:04.565,-14135.551663,17,57344
3416.776,2025-12-16 10:33:04.567,-15059.28062,18,57344
3416.778,2025-12-16 10:33:04.569,-13936.805933,19,57344
3416.78,2025-12-16 10:33:04.571,-9982.681423,20,57344
3416.782,2025-12-16 10:33:04.573,-11918.449579,21,57344
3416.784,2025-12-16 10:33:04.575,-13985.443324,22,57344
3416.786,2025-12-16 10:33:04.577,-12983.703807,23,57344
3416.788,2025-12-16 10:33:04.579,-9419.632098,24,57344
3416.79,2025-12-16 10:33:04.581,-12866.020394,25,57344
3416.792,2025-12-16 10:33:04.583,-14811.706764,26,57344
3416.794,2025-12-16 10:33:04.585,-14161.68234,27,57344
3416.796,2025-12-16 10:33:04.587,-11749.649223,28,57344
3416.798,2025-12-16 10:33:04.589,-13978.195399,29,57344
3416.8,2025-12-16 10:33:04.591,-14707.946997,30,57344
3416.802,2025-12-16 10:33:04.593,-13306.4272,31,57344
3416.804,2025-12-16 10:33:04.595,-8771.896493,32,57344
3416.806,2025-12-16 10:33:04.597,-11502.647571,33,57344
3416.808,2025-12-16 10:33:04.599,-14121.437283,34,57344
3416.81,2025-12-16 10:33:04.601,-13676.643575,35,57344
3416.812,2025-12-16 10:33:04.603,-11468.696765,36,57344
3416.814,2025-12-16 10:33:04.605,-14277.076934,37,57344
3416.816,2025-12-16 10:33:04.607,-15110.779034,38,57344
3416.818,2025-12-16 10:33:04.609,-13997.268885,39,57344
3416.82,2025-12-16 10:33:04.611,-10143.089446,40,57344
3416.822,2025-12-16 10:33:04.613,-12070.465268,41,57344
3416.824,2025-12-16 10:33:04.615,-14054.68008,42,57344
3416.826,2025-12-16 10:33:04.617,-13081.932263,43,57344
3416.828,2025-12-16 10:33:04.619,-9704.208519,44,57344
3416.83,2025-12-16 10:33:04.621,-13124.084668,45,57344
3416.832,2025-12-16 10:33:04.623,-14898.681863,46,0
3416.834,2025-12-16 10:33:04.625,-14245.796416,47,0
3416.836,2025-12-16 10:33:04.627,-11944.580256,48,0
3416.838,2025-12-16 10:33:04.629,-14107.132168,49,0
3416.84,2025-12-16 10:33:04.631,-14743.805151,50,0
3416.842,2025-12-16 10:33:04.633,-13341.331681,51,0
3416.844,2025-12-16 10:33:04.635,-8887.100352,52,0
3416.846,2025-12-16 10:33:04.637,-11637.497122,53,0
3416.848,2025-12-16 10:33:04.639,-14174.270841,54,0
3416.85,2025-12-16 10:33:04.641,-13724.518027,55,0
3416.852,2025-12-16 10:33:04.643,-11525.72649,56,0
3416.854,2025-12-16 10:33:04.645,-14284.706329,57,0
3416.856,2025-12-16 10:33:04.647,-15096.664654,58,0
3416.858,2025-12-16 10:33:04.649,-13952.064722,59,0
3416.86,2025-12-16 10:33:04.651,-9996.605068,60,0
3416.862,2025-12-16 10:33:04.653,-11921.692072,61,0
3416.864,2025-12-16 10:33:04.655,-13974.762171,62,0
3416.866,2025-12-16 10:33:04.657,-13013.267711,63,0
3416.868,2025-12-16 10:33:04.659,-9552.5743,64,0
3416.87,2025-12-16 10:33:04.661,-12989.235118,65,0
3416.872,2025-12-16 10:33:04.663,-14835.357887,66,0
3416.874,2025-12-16 10:33:04.665,-14145.660611,67,0
3416.876,2025-12-16 10:33:04.667,-11608.886892,68,0
3416.878,2025-12-16 10:33:04.669,-13797.760215,69,0
3416.88,2025-12-16 10:33:04.671,-14647.102574,70,0
3416.882,2025-12-16 10:33:04.673,-13240.242202,71,0
3416.884,2025-12-16 10:33:04.675,-8683.776985,72,0
3416.886,2025-12-16 10:33:04.677,-11485.290698,73,0
3416.888,2025-12-16 10:33:04.679,-14114.189358,74,0
3416.89,2025-12-16 10:33:04.681,-13653.946126,75,0
3416.892,2025-12-16 10:33:04.683,-11294.937302,76,0
3416.894,2025-12-16 10:33:04.685,-14106.750698,77,0
3416.896,2025-12-16 10:33:04.687,-15031.242595,78,0
3416.898,2025-12-16 10:33:04.689,-13872.528283,79,0
3416.9,2025-12-16 10:33:04.691,-9778.022912,80,0
3416.902,2025-12-16 10:33:04.693,-11731.147941,81,0
3416.904,2025-12-16 10:33:04.695,-13925.934045,82,0
3416.906,2025-12-16 10:33:04.697,-12999.153331,83,0
3416.908,2025-12-16 10:33:04.699,-9560.585164,84,0
3416.91,2025-12-16 10:33:04.701,-12994.766429,85,0
3416.912,2025-12-16 10:33:04.703,-14844.703896,86,0
3416.914,2025-12-16 10:33:04.705,-14157.676908,87,0
3416.916,2025-12-16 10:33:04.707,-11571.121388,88,0
3416.918,2025-12-16 10:33:04.709,-13731.956687,89,0
3416.92,2025-12-16 10:33:04.711,-14619.827488,90,0
3416.922,2025-12-16 10:33:04.713,-13214.874464,91,0
3416.924,2025-12-16 10:33:04.715,-8659.362922,92,0
3416.926,2025-12-16 10:33:04.717,-11507.415943,93,0
3416.928,2025-12-16 10:33:04.719,-14142.227384,94,0
3416.93,2025-12-16 10:33:04.721,-13691.33016,95,0
3416.932,2025-12-16 10:33:04.723,-11411.857775,96,0
3416.934,2025-12-16 10:33:04.725,-14202.881071,97,0
3416.936,2025-12-16 10:33:04.727,-15044.975505,98,0
3416.938,2025-12-16 10:33:04.729,-13863.373009,99,0
3416.94,2025-12-16 10:33:04.731,-9724.426414,100,0
3416.942,2025-12-16 10:33:04.733,-11692.238028,101,0
3416.944,2025-12-16 10:33:04.735,-13910.484521,102,0
3416.946,2025-12-16 10:33:04.737,-13018.608287,103,0
3416.948,2025-12-16 10:33:04.739,-9628.296042,104,0
3416.95,2025-12-16 10:33:04.741,-13065.910534,105,0
3416.952,2025-12-16 10:33:04.743,-14871.216042,106,0
3416.954,2025-12-16 10:33:04.745,-14166.259977,107,0
3416.956,2025-12-16 10:33:04.747,-11565.590077,108,0
3416.958,2025-12-16 10:33:04.749,-13721.275534,109,0
3416.96,2025-12-16 10:33:04.751,-14615.631321,110,0
3416.962,2025-12-16 10:33:04.753,-13223.076064,111,0
3416.964,2025-12-16 10:33:04.755,-8715.057503,112,0
3416.966,2025-12-16 10:33:04.757,-11587.333852,113,0
3416.968,2025-12-16 10:33:04.759,-14188.385221,114,0
3416.97,2025-12-16 10:33:04.761,-13745.117392,115,0
3416.972,2025-12-16 10:33:04.763,-11500.168018,116,0
3416.974,2025-12-16 10:33:04.765,-14243.316863,117,0
3416.976,2025-12-16 10:33:04.767,-15056.801067,118,0
