Date,Subject,base_s_time,base_f_time,S1_s_time,S1_f_time,S2_s_time,S2_f_time,Feedback_Con_pre,Feedback_Con_post,Feedback_pre,Feedback_post,HRFB_1,HRFB_2
2025_11_20,MS_1,"""1436""","""1440""","""1506""","""1510""","""1536""","""1540""","""1515""","""1534""","""1443""","""1505""","""1449""","""1518"""
2025_11_25,EM,"""1047""","""1051""","""1120""","""1124""","""1150""","""1154""","""1129""","""1148""","""1053""","""1119""","""1100""","""1132"""
2025_11_25,SO,"""1719""","""1723""","""1826""","""1830""","""1854""","""1858""","""1724""","""1825""","""1835""","""1854""","""1805""","""1838"""
2025_11_27,NT,"""1428""","""1432""","""1456""","""1500""","""1547""","""1551""","""1433""","""1455""","""1508""","""1546""","""1438""","""1530"""
2025_11_27,RH,"""1740""","""1744""","""1811""","""1815""","""1840""","""1844""","""1818""","""1839""","""1746""","""1807""","""1750""","""1821"""
2025_12_08,HO,"""1228""","""1232""","""1255""","""1259""","""1325""","""1329""","""1303""","""1324""","""1233""","""1254""","""1237""","""1306"""
2025_12_08,HM,"""1536""","""1540""","""1610""","""1614""","""1638""","""1642""","""1541""","""1602""","""1618""","""1637""","""1545""","""1621"""
2025_12_10,MS_2,"""1440""","""1444""","""1517""","""1521""","""1545""","""1549""","""1442""","""1515""","""1525""","""1544""","""1459""","""1528"""
2025_12_15,FK,"""1209""","""1213""","""1246""","""1250""","""1314""","""1318""","""1254""","""1313""","""1213""","""1245""","""1218""","""1257"""
2025_12_15,MO,"""1828""","""1832""","""1857""","""1901""","""1926""","""1930""","""1906""","""1924""","""1831""","""1855""","""1837""","""1908"""
2025_12_16,TK,"""1035""","""1039""","""1117""","""1121""","""1145""","""1149""","""1039""","""1115""","""1125""","""1144""","""1058""","""1127"""
2025_12_16,MI,"""1841""","""1845""","""1906""","""1910""","""1933""","""1937""","""1845""","""1904""","""1913""","""1932""","""1849""","""1916"""
2025_12_22,AK,"""1426""","""1430""","""1501""","""1505""","""1529""","""1533""","""1508""","""1527""","""1429""","""1500""","""1440""","""1510"""
2025_12_24,HT,"""1146""","""1150""","""1215""","""1219""","""1241""","""1245""","""1222""","""1240""","""1151""","""1214""","""1152""","""1234"""
